character,type,text
份,psc,"Phono-semantic compound (形聲 / 形声, OC *prɯn, *bɯns): semantic 亻 + phonetic 分 (OC *pɯn, *bɯns)."
伐,ideo,"Ideogrammic compound (會意 / 会意): ⺅ (“person”) + 戈 (“spear”). Based on the image of cutting a person’s neck with a spear, it expresses the meanings of ""to cut off"" or ""to strike."""
唇,psc,"Phono-semantic compound (形聲 / 形声, OC *tjɯn, *ɦljun): phonetic 辰 (OC *djɯn) + semantic 口 (“mouth”)."
嘀,psc,Phono-semantic compound (形聲 / 形声): semantic 口 (“mouth”) + phonetic 啇.
她,psc,"Phono-semantic compound (形聲 / 形声): semantic 女 (“female, woman”) + phonetic 也 (OC *laːlʔ). Originally a variant of 姐 (jiě, “elder sister”). Later repurposed as a feminine third-person pronoun influenced by European languages, with the glyph being the result of replacing the 人 (rén, “person”) radical in 他 (tā) with 女 (“woman”). Linguist Liu Bannong is credited with coining this use around the 1910s, in turn replacing a precursor form of 他女 in print (Bi, 2013)."
宙,psc,"Phono-semantic compound (形聲 / 形声, OC *l'ɯwɢs): semantic 宀 (“roof”) + phonetic 由 (OC *lɯw). It originally represented the farthest place accessible by boat or vehicle and, by extension, came to express the idea of spatial expansion or vastness."
揚,psc,"Phono-semantic compound (形聲 / 形声, OC *laŋ): semantic 手 (“hand”) + phonetic 昜 (OC *laŋ)."
椎,psc,"Phono-semantic compound (形聲 / 形声, OC *dul): semantic 木 (“tree”) + phonetic 隹 (OC *tjul). It expresses the idea of a piece of wood used to smash things, signifying a “hammer” or “mallet.”"
泣,psc,"Phono-semantic compound (形聲 / 形声, OC *kʰrɯb): semantic 氵 (“water”) + phonetic 立 (OC *rɯb). The character originally meant ""tears,"" and by extension, it came to represent the act of ""crying."""
淀,psc,"Phono-semantic compound (形聲 / 形声, OC *deːns): semantic 水 (“water”) + phonetic 定 (OC *teːŋs, *deːŋs)"
痛,psc,"Phono-semantic compound (形聲 / 形声, OC *l̥ʰoːŋs): semantic 疒 (“illness”) + phonetic 甬 (OC *loŋʔ). The character conveys the meaning of ""pain"" or ""to hurt."""
節,psc,"Phono-semantic compound (形聲 / 形声, OC *ʔsiːɡ): semantic ⺮ (“bamboo”) + phonetic 即 (OC *ʔsɯɡ). It represents the ""node"" of bamboo, and by extension, signifies a segment or boundary."
簡,psc,"Phono-semantic compound (形聲 / 形声, OC *kreːnʔ): semantic 竹 + phonetic 間 (OC *ɡreːn)"
純,psc,"Phono-semantic compound (形聲 / 形声, OC *tjunʔ, *djun): semantic 糸 (“thread”) + phonetic 屯 (OC *duːn, *tun). It conveys the meaning of ""without any impurities,"" and also ""exclusively."""
緬,psc,"Phono-semantic compound (形聲 / 形声, OC *menʔ): semantic 糸 (“silk”) + phonetic 面 (OC *mens)."
胞,psc,"Phono-semantic compound (形聲 / 形声, OC *pruː, *pʰruː) and ideogrammic compound (會意 / 会意): semantic 月 (“flesh”) + phonetic 包 (OC *pruː, “a shape representing a pregnant figure”). It conveys the meaning of the membrane that encloses the fetus."
萎,psc,"Phono-semantic compound (形聲 / 形声, OC *qrol, *qrols): semantic 艹 (“grass; plant”) + phonetic 委 (OC *qrol, *qrolʔ)."
貼,psc,"Phono-semantic compound (形聲 / 形声, OC *tʰeːb): semantic 貝 (“shell”) + phonetic 占 (OC *ʔljem, *tjems)."
踊,psc,"Phono-semantic compound (形聲 / 形声, OC *loŋʔ): semantic 𧾷 (“legs”) + phonetic 甬 (OC *loŋʔ)"
遍,psc,"Phono-semantic compound (形聲 / 形声, OC *peːns): semantic 辶 (“walk; movement”) + phonetic 扁 (OC *pʰen, *benʔ, *peːnʔ, *beːnʔ)."
雇,psc,"Phono-semantic compound (形聲 / 形声, OC *kʷaːs, *ɡʷaːʔ): phonetic 戶 (OC *ɡʷaːʔ) + semantic 隹."
