entry,meaning
本1,classifier for books; periodicals; files etc
本2,originally; initially/one's own; this/the current (year etc)/original/inherent
点1,point; dot; spot; speck/point in time or space/(after a number) o'clock/a small amount; a bit/(math.) decimal point/dot stroke in Chinese characters/classifier for small amounts
点2,to touch briefly; to tap/to mark with a dot; to check off (on a list)/to order (food etc); to select/to light (a fire; a lamp etc); to ignite/to nod (one's head) in agreement/to administer (eye medicine etc) in drops/to mention; to bring up (a topic or person)/to hint at; to imply
和1,(joining two nouns) and; together with; with
和2,harmonious
会1,can; to have the skill; to know how to/to be likely to; to be sure to/to meet; to get together
会2,meeting; gathering/(suffix) union; group; association/a moment
两1,two/both/some; a few
两2,tael; unit of weight equal to 50 grams (modern) or 1/16 of a catty (old)
喂1,hey
喂2,to feed (an animal; baby; invalid etc)
别1,don't ...!
别2,to leave; to part (from)/to differentiate; to distinguish/to fasten with a pin or clip/to stick in; to insert
打1,to hit; to strike/to fight/a semantically light verb combined with an object to form compound verbs (打伞 to hold an umbrella; 打电话 to make a phone call; 打针 to get an injection)
打2,(coll.) from; since
等1,to wait for; to await/by the time; when; till
等2,and so on; etc.; et al./class; rank; grade/equal to; same as/(used to end an enumeration)/(literary) plural suffix on a pronoun or noun
过去1,to go over; to pass by
过去2,(in the) past; former; previous
花1,to spend (money; time)
花2,flower; blossom/fancy pattern/florid
面1,face/side/surface/aspect/top/classifier for objects with flat surfaces such as drums; mirrors; flags
面2,flour; noodles/(of food) soft (not crunchy)
站1,station/branch of a company or organization/website
站2,to stand/to halt; to stop
才1,then and only then/just now/(before an expression of quantity) only
才2,ability; talent/sb of a certain type/a capable individual
该1,should; ought to/must be/to deserve/to owe/to be sb's turn to do sth
该2,that; the above-mentioned
乘1,to ride; to mount; to travel by
乘2,to multiply (math.)/to make use of; to avail oneself of; to take advantage of
生1,to be born/to give birth/to grow
生2,raw; uncooked/unfamiliar
省1,province/provincial capital
省2,to save; to economize; to be frugal/to omit; to delete; to leave out
为1,to act as/to serve as/to become/to be/to do
为2,as (in the capacity of)/to take sth as/by (in the passive voice)
之1,"(possessive particle, literary equivalent of 的)"
之2,him; her; it
转机1,to change planes
转机2,(to take) a turn for the better
作为1,to act as/as (in the capacity of)/to view as/to look upon (sth as)/to take sth to be
作为2,one's conduct; deed/activity/accomplishment; achievement
成年1,to grow to adulthood/fully grown; adult
成年2,the whole year
调1,to transfer/to move (troops or cadres)/to investigate; to enquire into
调2,accent/key (in music); mode; tune; tone; melody
副1,classifier for pairs; sets of things and facial expressions
副2,secondary; auxiliary/deputy; assistant; vice-
命1,life/fate
命2,order or command/to assign a name; title etc
批1,classifier for batches; lots; military flights
批2,to ascertain/to act on/to criticize/to pass on
升1,to ascend; to rise/to promote; to elevate
升2,liter/unit of dry measure for grain
所1,place/classifier for houses; small buildings; institutions etc
所2,that which/particle introducing a relative clause or passive
支1,classifier for rods such as pens and guns; for army divisions and for songs or compositions/branch; division
支2,to support/to sustain/to erect; to raise/to draw money
局1,classifier for games: match; set; round etc
局2,office/situation
料1,material; stuff/grain; feed
料2,to expect; to anticipate/to guess
露1,to show; to reveal/to betray; to expose
露2,dew/syrup; nectar
则1,(conjunction expressing contrast with a previous clause) but; then/standard; norm/principle
则2,classifier for written items
粉丝1,bean vermicelli; mung bean starch noodles; cellophane noodles
粉丝2,fan; enthusiast for sb or sth (loanword from "fans")
麻1,(of materials) rough or coarse/pocked; pitted/to have pins and needles or tingling; to feel numb
麻2,generic name for hemp; flax etc/hemp or flax fiber for textile materials/sesame
称1,to weigh
称2,to call; to name; to state/to praise/name; appellation
码1,classifier for matters; items; situations etc/(clothing) size/yard (unit of length)
码2,to pile up; to stack
制服1,uniform (army; party; school etc)/livery (for company employees)
制服2,to subdue; to check; to bring under control
自负1,to take responsibility (for one's own actions)
自负2,conceited; self-important
